userid,loc,date
f5,page0_1,2023-05-31 17:22:35.844902
f5,page0_2,2023-05-31 17:22:37.664691
f5,ans_submit,2023-05-31 17:22:48.252683
f5,page0_1,2023-05-31 17:23:07.110237
f5,page0_2,2023-05-31 17:23:08.695481
f5,page0_2,2023-05-31 17:23:11.125747
f5,page0_tip1,2023-05-31 17:23:11.125747
f5,page0_2,2023-05-31 17:23:12.950884
f5,page0_tip2,2023-05-31 17:23:12.950884
f5,page1_1,2023-05-31 17:23:18.103276
f5,page1_2,2023-05-31 17:23:19.827014
f5,page1_2,2023-05-31 17:23:21.931718
f5,page1_tip1,2023-05-31 17:23:21.931718
f5,page1_2,2023-05-31 17:23:23.899577
f5,page1_tip2,2023-05-31 17:23:23.899577
f5,page2_1,2023-05-31 17:23:27.809382
f5,page2_1,2023-05-31 17:23:29.701034
f5,page2_tip1,2023-05-31 17:23:29.701034
f5,page2_2,2023-05-31 17:23:31.401200
f5,page2_3,2023-05-31 17:23:35.380708
f5,page1_1,2023-05-31 17:23:41.249376
f5,page1_2,2023-05-31 17:23:41.249376
f5,page2_1,2023-05-31 17:23:41.249376
f5,page2_2,2023-05-31 17:23:41.249376
f5,page2_3,2023-05-31 17:23:41.249376
peter@naver.com,ans_submit,2023-05-31 17:45:53.221246
peter6887@naver.com,page0_1,2023-05-31 17:49:10.834636
peter6887@naver.com,page0_1,2023-05-31 17:49:12.304400
peter6887@naver.com,page0_tip2,2023-05-31 17:49:12.304400
정재원@naver.com,page2_1,2023-05-31 17:56:18.787757
정재원@naver.com,page2_1,2023-05-31 17:56:19.916929
정재원@naver.com,page2_tip1,2023-05-31 17:56:19.916929
정재원@naver.com,page2_1,2023-05-31 17:56:20.159646
정재원@naver.com,page2_tip1,2023-05-31 17:56:20.159646
정재원@naver.com,page2_1,2023-05-31 17:56:20.392034
정재원@naver.com,page2_1,2023-05-31 17:56:21.112938
정재원@naver.com,page2_1,2023-05-31 17:56:21.530212
정재원@naver.com,page2_tip1,2023-05-31 17:56:21.530212
wjd@naver.com,page0_1,2023-05-31 18:00:12.849565
wjd@naver.com,page0_1,2023-05-31 18:00:14.121191
wjd@naver.com,page0_tip2,2023-05-31 18:00:14.121191
wjd@naver.com,page2_3,2023-05-31 18:00:21.370468
wjd@naver.com,page2_3,2023-05-31 18:00:22.769373
wjd@naver.com,page2_tip1,2023-05-31 18:00:22.769373
wjd@naver.com,page2_3,2023-05-31 18:00:25.084802
wjd@naver.com,page2_tip1,2023-05-31 18:00:25.084802
wjd@naver.com,page2_3,2023-05-31 18:00:25.776853
wjd@naver.com,page2_tip1,2023-05-31 18:00:25.776853
