StudentID,ans1,ans2,ans3,ans4,date
adfa,asdf,asdfa,sdf,asdf,2023-05-23 16:38:49.144848
adfa,답1,asdf,adf,df,2023-05-23 16:39:05.802102
아아아,ㅁㄴㅇ,ㄴㅁㅇ,ㅇ,ㅁ,2023-05-23 16:39:31.112987
ㅁㅇㄹ,답1,ㅇㄹ,ㄴㅇㄹ,ㄴㅇㄹ,2023-05-23 16:50:56.648027
ㅁㅇㄹ,답1,ㅁㅇㄹ,답1,ㅁㅇㄴㄹ,2023-05-23 16:51:41.500631
ㅁㅇㄹㅁ,ㅁㄴㅇㄹㅁ,ㅁㄴㅇㄹㅁㄴㅇㄹ,ㅁㄴㅇㄹㅁ,ㅇㅁㄹ,2023-05-23 16:52:57.793659
ㅃㄱ,답1,답2,답3,답1,답2,2023-05-24 17:15:37.764998
ㅃㄱ,답1,답2,답3,답1,답2,2023-05-24 17:15:38.155931
ㅂㄱㅂㅈ,답1,답2,답,ㅈㄷ,ㅈ,2023-05-24 17:17:53.471387
ㅃ,답1ㅂ,답1,답1,ㅁㅇㅁㅂ,ㅁ,2023-05-24 17:20:04.743892
ㅂ,답1,답1,답,ㅈ,ㅈ,2023-05-24 17:20:57.423990
ㄴ,답1,답1,ㄷ,ㅈ,ㅈ,2023-05-24 17:21:32.137735
aa,25,25,25,25,25,2023-05-29 18:04:53.585388
aa,25,25,25,25,25,2023-05-29 18:04:56.388643
aa,24,24,24,24,24,2023-05-29 18:05:30.925515
aa,1,1,1,1,1,2023-05-29 18:11:22.394483
aa,1,2,3,4,5,2023-05-29 18:13:28.814133
aa,5,5,5,5,5,2023-05-29 18:28:32.050334
재원,0,0,0,0,0,2023-05-30 04:33:43.516821
재원,1,15,15,15,15,2023-05-30 10:10:56.450171
재원,8,8,8,8,8,2023-05-30 10:11:54.063245
재원,8,8,8,8,8,2023-05-30 10:15:57.444180
재원,15,15,15,15,15,2023-05-30 10:16:46.997070
재원,1,2,3,4,5,2023-05-30 10:50:35.579480
재원,8,8,8,8,8,2023-05-30 10:52:14.984081
재원,8,8,8,8,8,2023-05-30 10:54:30.987201
재원,1,2,3,4,5,2023-05-30 10:55:53.876668
재원,1,2,3,4,5,2023-05-30 10:55:55.017701
재원,1,2,3,4,5,2023-05-30 10:57:47.117378
재원,1,2,3,4,5,2023-05-30 11:00:27.633346
재원,1,1,2,3,5,2023-05-30 11:00:57.445424
재원,5,5,5,5,5,2023-05-30 11:02:00.135671
재원,1,2,3,4,5,2023-05-30 11:03:43.001627
재원,1,5,5,5,5,2023-05-30 11:04:26.383297
재원,1,1,1,1,1,2023-05-30 11:11:47.484630
재원,1,1,1,1,1,2023-05-30 11:14:23.282779
김재형,8,15,15,5,5,2023-05-30 15:05:37.549368
김재형,15,15,15,15,5,2023-05-30 15:13:14.477260
asdf,5,5,5,5,5,2023-05-30 16:44:49.152750
asdf,5,5,5,5,5,2023-05-30 16:44:51.598579
asdf,5,5,5,5,8,2023-05-30 16:45:42.828833
asdf,5,5,5,5,8,2023-05-30 16:45:43.900142
asdf,5,5,5,5,8,2023-05-30 16:45:44.428595
asdf,5,5,5,5,5,2023-05-30 16:45:48.928861
asdf,5,5,5,5,5,2023-05-30 16:45:49.754491
asdf,5,5,5,5,5,2023-05-30 16:45:50.200386
asdf,7,8,15,14,5,2023-05-30 16:53:00.557310
asdf,1,2,3,4,5,2023-05-30 16:54:48.827993
김현우,7,8,15,14,5,2023-05-31 10:13:22.782960
김현우,1,2,3,4,5,2023-05-31 10:13:40.817992
qweqrewrqw,5,5,5,5,5,2023-05-31 10:33:36.404870
qweqrewrqw,5,5,5,5,5,2023-05-31 10:33:38.363226
qweqrewrqw,1,2,3,4,5,2023-05-31 10:34:30.428874
qweqrewrqw,1,2,3,4,5,2023-05-31 10:34:41.134925
김현우,23,34,4,4,34,2023-05-31 10:40:44.480285
김현우,4,5,5,5,5,2023-05-31 10:40:55.429199
김현우,1,2,3,4,5,2023-05-31 10:56:05.489825
김현우,1,2,3,4,5,2023-05-31 10:59:00.013729
정재원,1,2,3,4,5,2023-05-31 11:33:54.431669
정재원,1,2,3,4,5,2023-05-31 11:33:59.317754
정재원,1,2,3,4,5,2023-05-31 11:34:13.594150
정재원,1,12,3,4,5,2023-05-31 11:36:11.676054
정재원,4,2,1,5,5,2023-05-31 11:37:39.141302
xczxc,q,w,e,r,5,2023-05-31 15:18:09.684270
xczxc,7,8,15,14,5,2023-05-31 15:18:47.404626
xczxc,7,8,15,14,4,2023-05-31 15:18:54.470409
xczxc,7,8,15,14,4,2023-05-31 15:18:55.195103
xczxc,q,w,e,q,5,2023-05-31 15:19:35.492487
xczxc,7,8,15,14,5,2023-05-31 15:31:31.739841
xczxc,7,8,15,14,5,2023-05-31 15:31:33.282940
xczxc,7,8,15,15,5,2023-05-31 15:32:10.389538
xczxc,7,8,15,15,5,2023-05-31 15:34:49.810276
xczxc,7,8,15,15,5,2023-05-31 15:35:38.772314
xczxc,a,a,a,a,a5,2023-05-31 15:35:50.469992
히오스 쓰레기 겜,7,8,15,14,5,2023-05-31 16:38:19.112498
히오스 쓰레기 겜,7,8,15,1,1,2023-05-31 16:39:37.178820
히오스 쓰레기 겜,1,1,15,3,5,2023-05-31 16:41:46.769889
히오스 쓰레기 겜,1,1,15,3,5,2023-05-31 16:41:47.061989
히오스 쓰레기 겜,1,1,15,3,5,2023-05-31 16:41:47.333748
히오스 쓰레기 겜,1,1,15,3,5,2023-05-31 16:41:47.602757
히오스 쓰레기 겜,1,1,15,3,5,2023-05-31 16:41:47.777886
